type,models,weights,roc_auc
pair,XGB_H+XGB_F,"[0.8, 0.2]",0.9444038541476385
pair,XGB_H+XGB_C,"[0.7, 0.3]",0.9444023719376465
pair,XGB_H+XGB_C,"[0.75, 0.25]",0.9444001576259436
pair,XGB_H+XGB_C,"[0.6, 0.4]",0.9443997843445309
pair,XGB_H+XGB_C,"[0.8, 0.2]",0.9443953413996561
rank_average,XGB_H+XGB_C,equal,0.944389447005691
pair,XGB_H+XGB_C,"[0.5, 0.5]",0.9443876095208569
pair,XGB_F+XGB_C,"[0.6, 0.4]",0.9443585364109303
rank_average,XGB_F+XGB_C,equal,0.9443547070936842
pair,XGB_F+XGB_C,"[0.5, 0.5]",0.9443538335616469
pair,XGB_F+XGB_C,"[0.7, 0.3]",0.9443536242866578
pair,XGB_F+XGB_C,"[0.75, 0.25]",0.944347517165345
pair,XGB_F+XGB_C,"[0.8, 0.2]",0.9443387958018123
